parcel 0: rho -0.07519550052717952 , p-value 1.0 
parcel 1: rho -0.019316556140978918 , p-value 0.9948999999999999 
parcel 2: rho -0.0481805613161633 , p-value 0.9995 
parcel 3: rho -0.026122850927404864 , p-value 0.9962000000000001 
parcel 4: rho -0.05473038259291195 , p-value 0.9995999999999999 
parcel 5: rho -0.04176514639446945 , p-value 0.9989 
parcel 6: rho 0.008211825865135504 , p-value 0.9811 
parcel 7: rho -0.013654806027275103 , p-value 0.993 
parcel 8: rho -0.012919834799350292 , p-value 0.9925 
parcel 9: rho -0.08904862508807444 , p-value 1.0 
parcel 10: rho -0.036849752167000656 , p-value 0.9983 
parcel 11: rho -0.03365384620115709 , p-value 0.998 
parcel 12: rho -0.04744357906779513 , p-value 0.9995 
parcel 13: rho 0.01190987297142985 , p-value 0.9790000000000001 
parcel 14: rho -0.004210472571705991 , p-value 0.9892 
parcel 15: rho -0.027700843936104762 , p-value 0.9965999999999999 
parcel 16: rho -0.012856028835523859 , p-value 0.9925 
parcel 17: rho 0.0161727257746746 , p-value 0.9763 
parcel 18: rho -0.01354575707727475 , p-value 0.9929000000000001 
parcel 19: rho -0.02083363751073814 , p-value 0.9952 
parcel 20: rho -0.03553330273707098 , p-value 0.9981 
parcel 21: rho -0.0855158347445939 , p-value 1.0 
parcel 22: rho -0.03480825675769471 , p-value 0.998 
parcel 23: rho -0.059886420376358974 , p-value 0.9998999999999999 
parcel 24: rho -0.04729147902731394 , p-value 0.9995 
parcel 25: rho -0.015922213553830333 , p-value 0.9936 
parcel 26: rho -0.08734705673964209 , p-value 1.0 
parcel 27: rho -0.019372214696307313 , p-value 0.9948999999999999 
parcel 28: rho -0.039337003451525666 , p-value 0.9984000000000001 
parcel 29: rho -0.06796246508479303 , p-value 0.9998999999999999 
parcel 30: rho -0.0301741435456917 , p-value 0.9976 
parcel 31: rho -0.09608066213373871 , p-value 1.0 
parcel 32: rho -0.04154652234109601 , p-value 0.9987 
parcel 33: rho -0.030621012162024126 , p-value 0.9976 
parcel 34: rho 0.017302416963333712 , p-value 0.9753000000000001 
parcel 35: rho -0.03551181377334174 , p-value 0.9981 
parcel 36: rho -0.06728974018614944 , p-value 0.9998999999999999 
parcel 37: rho -0.05397814874239712 , p-value 0.9995999999999999 
parcel 38: rho 0.009565894352026722 , p-value 0.9808 
parcel 39: rho -0.024975083658867726 , p-value 0.9962000000000001 
parcel 40: rho -0.025100201839878565 , p-value 0.9962000000000001 
parcel 41: rho -0.005468544541533585 , p-value 0.9897 
parcel 42: rho -0.037480853723734144 , p-value 0.9983 
parcel 43: rho -0.009842196538250572 , p-value 0.9914000000000001 
parcel 44: rho -0.0332676318696253 , p-value 0.9979 
parcel 45: rho -0.03821558310722395 , p-value 0.9983 
parcel 46: rho -0.05240062155966556 , p-value 0.9995999999999999 
parcel 47: rho -0.06858184932678427 , p-value 1.0 
parcel 48: rho -0.03383000757016953 , p-value 0.998 
parcel 49: rho -0.054030978006637406 , p-value 0.9995999999999999 
parcel 50: rho -0.028901948224535862 , p-value 0.9969 
parcel 51: rho -0.0762050162104125 , p-value 1.0 
parcel 52: rho -0.03238702087470042 , p-value 0.9978 
parcel 53: rho 0.00481284502047477 , p-value 0.9838 
parcel 54: rho -0.048757711026902704 , p-value 0.9995999999999999 
parcel 55: rho -0.04595097030115918 , p-value 0.9994 
parcel 56: rho -0.036612303931149275 , p-value 0.9983 
parcel 57: rho -0.057115022203768885 , p-value 0.9995999999999999 
parcel 58: rho -0.07882097611918129 , p-value 1.0 
parcel 59: rho -0.04696202497498517 , p-value 0.9994 
parcel 60: rho -0.020984700861142354 , p-value 0.9952 
parcel 61: rho -0.028399540958939443 , p-value 0.9968 
parcel 62: rho -0.024757738460896704 , p-value 0.9958 
parcel 63: rho -0.04818322609741461 , p-value 0.9995 
parcel 64: rho -0.08045093615948523 , p-value 1.0 
parcel 65: rho -0.05420082264716288 , p-value 0.9995999999999999 
parcel 66: rho -0.12249197934857807 , p-value 1.0 
parcel 67: rho -0.03437656219498377 , p-value 0.998 
parcel 68: rho -0.07754170077812399 , p-value 1.0 
parcel 69: rho -0.057115470166835575 , p-value 0.9995999999999999 
parcel 70: rho -0.06859401899009601 , p-value 1.0 
parcel 71: rho -0.0650580429532021 , p-value 0.9998999999999999 
parcel 72: rho -0.11097521322159581 , p-value 1.0 
parcel 73: rho -0.051136663710260426 , p-value 0.9995999999999999 
parcel 74: rho -0.04642317642733822 , p-value 0.9994 
parcel 75: rho -0.09820585604061698 , p-value 1.0 
parcel 76: rho -0.05312083706815079 , p-value 0.9995999999999999 
parcel 77: rho -0.026775827265150674 , p-value 0.9962000000000001 
parcel 78: rho -0.06483921096281775 , p-value 0.9998999999999999 
parcel 79: rho -0.07720964954546515 , p-value 1.0 
parcel 80: rho -0.08590930440917575 , p-value 1.0 
parcel 81: rho -0.03710206939662009 , p-value 0.9983 
parcel 82: rho -0.059680328913394996 , p-value 0.9998999999999999 
parcel 83: rho -0.10546512834181489 , p-value 1.0 
parcel 84: rho -0.01767908940343995 , p-value 0.9944 
parcel 85: rho -0.05019958102360959 , p-value 0.9995999999999999 
parcel 86: rho -0.08906344316722459 , p-value 1.0 
parcel 87: rho -0.045819538707529354 , p-value 0.9994 
parcel 88: rho -0.03467526467381179 , p-value 0.998 
parcel 89: rho -0.010659241274514362 , p-value 0.9915 
parcel 90: rho -7.469762744362633e-05 , p-value 0.9873000000000001 
parcel 91: rho -0.0669869589757887 , p-value 0.9998999999999999 
parcel 92: rho -0.1015869654265426 , p-value 1.0 
parcel 93: rho -0.08271397112582 , p-value 1.0 
parcel 94: rho -0.08988065027405555 , p-value 1.0 
parcel 95: rho -0.048298557975441296 , p-value 0.9995 
parcel 96: rho -0.07926400453254803 , p-value 1.0 
parcel 97: rho -0.05940869429267764 , p-value 0.9998999999999999 
parcel 98: rho -0.03835698284175899 , p-value 0.9984000000000001 
parcel 99: rho -0.06894669695384784 , p-value 1.0 
parcel 100: rho -0.045744614317501826 , p-value 0.9994 
parcel 101: rho -0.04957151070502007 , p-value 0.9995999999999999 
parcel 102: rho -0.08117841908789408 , p-value 1.0 
parcel 103: rho -0.07896046388145818 , p-value 1.0 
parcel 104: rho -0.096221331521612 , p-value 1.0 
parcel 105: rho -0.08778504995401137 , p-value 1.0 
parcel 106: rho -0.1106629108707252 , p-value 1.0 
parcel 107: rho -0.03659406344839792 , p-value 0.9983 
parcel 108: rho -0.052550000021285986 , p-value 0.9995999999999999 
parcel 109: rho -0.06713325143396189 , p-value 0.9998999999999999 
parcel 110: rho -0.07136158840481309 , p-value 1.0 
parcel 111: rho -0.16886659296412135 , p-value 1.0 
parcel 112: rho -0.09841556500857507 , p-value 1.0 
parcel 113: rho -0.07657114269287849 , p-value 1.0 
parcel 114: rho -0.06676346658645123 , p-value 0.9998999999999999 
parcel 115: rho -0.03139656212648434 , p-value 0.9978 
parcel 116: rho -0.030960354988353745 , p-value 0.9976999999999999 
parcel 117: rho 0.017772337814699033 , p-value 0.9747 
parcel 118: rho 0.011241692630287316 , p-value 0.9793999999999999 
parcel 119: rho 0.031076194835961073 , p-value 0.9584 
parcel 120: rho -0.017816183750821845 , p-value 0.9945999999999999 
parcel 121: rho 0.003046381071214952 , p-value 0.985 
parcel 122: rho -0.021799351005912834 , p-value 0.9954999999999999 
parcel 123: rho -0.00831001716590625 , p-value 0.9909 
parcel 124: rho -0.035185340579356454 , p-value 0.998 
parcel 125: rho -0.09318709711655995 , p-value 1.0 
parcel 126: rho -0.051596217339965576 , p-value 0.9995999999999999 
parcel 127: rho -0.05994116129196694 , p-value 0.9998999999999999 
parcel 128: rho -0.09366257022839944 , p-value 1.0 
parcel 129: rho -0.06657838189583526 , p-value 0.9998999999999999 
parcel 130: rho -0.05137884786128392 , p-value 0.9995999999999999 
parcel 131: rho -0.1319331288221495 , p-value 1.0 
