parcel 0: rho 0.056042439712365937 , p-value 0.9102 
parcel 1: rho 0.047862362117194794 , p-value 0.9301 
parcel 2: rho 0.03530617929626721 , p-value 0.9523999999999999 
parcel 3: rho 0.047428675078988417 , p-value 0.9311 
parcel 4: rho 0.10384389864638974 , p-value 0.7303999999999999 
parcel 5: rho 0.08309492326832357 , p-value 0.8233 
parcel 6: rho 0.04569291537259832 , p-value 0.9353 
parcel 7: rho 0.08985393496831 , p-value 0.7968000000000001 
parcel 8: rho 0.02842589080609381 , p-value 0.9595999999999999 
parcel 9: rho 0.08190909433106633 , p-value 0.8273 
parcel 10: rho -0.003086428554463553 , p-value 0.9876999999999999 
parcel 11: rho 0.08798816297881654 , p-value 0.8051 
parcel 12: rho 0.07425100083753597 , p-value 0.8554999999999999 
parcel 13: rho 0.0922100926589825 , p-value 0.7867000000000001 
parcel 14: rho 0.03820904697893582 , p-value 0.9486 
parcel 15: rho 0.0443835932550292 , p-value 0.9375 
parcel 16: rho 0.05201288255490411 , p-value 0.9213 
parcel 17: rho 0.03209935126602258 , p-value 0.9556 
parcel 18: rho 0.012796845287098157 , p-value 0.9772 
parcel 19: rho 0.08144051013888962 , p-value 0.8289 
parcel 20: rho 0.10153754913872001 , p-value 0.7415 
parcel 21: rho 0.045728199627377585 , p-value 0.9351 
parcel 22: rho -0.007771493707489484 , p-value 0.9906 
parcel 23: rho 0.0015990957927521474 , p-value 0.9853000000000001 
parcel 24: rho 0.04878759455455496 , p-value 0.9284 
parcel 25: rho 0.08311853042771433 , p-value 0.8233 
parcel 26: rho 0.12348266847656619 , p-value 0.6292 
parcel 27: rho 0.04317659613949349 , p-value 0.94 
parcel 28: rho 0.06669233962587406 , p-value 0.8835 
parcel 29: rho 0.018360712280069705 , p-value 0.9722 
parcel 30: rho 0.09169791881923525 , p-value 0.7886 
parcel 31: rho 0.1230937001923518 , p-value 0.6307 
parcel 32: rho 0.08083795729866868 , p-value 0.8318000000000001 
parcel 33: rho 0.05767233916697511 , p-value 0.9066 
parcel 34: rho 0.02216254933767207 , p-value 0.968 
parcel 35: rho 0.06614911717791652 , p-value 0.8842 
parcel 36: rho 0.027346425062867736 , p-value 0.9612 
parcel 37: rho 0.05269979160332218 , p-value 0.9193000000000001 
parcel 38: rho 0.07606919333495092 , p-value 0.8484 
parcel 39: rho 0.08277403552328474 , p-value 0.8239 
parcel 40: rho 0.040265795082992856 , p-value 0.9455 
parcel 41: rho 0.012882213690640666 , p-value 0.9772 
parcel 42: rho -0.006301362490622254 , p-value 0.9894 
parcel 43: rho -0.006050040365618744 , p-value 0.9892 
parcel 44: rho -0.016516907699925282 , p-value 0.9932 
parcel 45: rho 0.053826140506417236 , p-value 0.9167000000000001 
parcel 46: rho 0.09146908940119687 , p-value 0.7898000000000001 
parcel 47: rho 0.05809896105386013 , p-value 0.9057999999999999 
parcel 48: rho 0.06805853251064399 , p-value 0.8785 
parcel 49: rho 0.05335561064866589 , p-value 0.9179999999999999 
parcel 50: rho 0.08621954815811997 , p-value 0.8123999999999999 
parcel 51: rho 0.0949871151415305 , p-value 0.7728 
parcel 52: rho 0.07322895822088549 , p-value 0.8598 
parcel 53: rho 0.09053899707843906 , p-value 0.7934 
parcel 54: rho 0.09399472761296353 , p-value 0.7776000000000001 
parcel 55: rho 0.037070835291863044 , p-value 0.9501999999999999 
parcel 56: rho 0.1275442896464879 , p-value 0.6082 
parcel 57: rho 0.04175347044870841 , p-value 0.9431999999999999 
parcel 58: rho 0.08352036385061233 , p-value 0.8223999999999999 
parcel 59: rho -0.016761356138224177 , p-value 0.9934000000000001 
parcel 60: rho 0.05868035309628226 , p-value 0.9043000000000001 
parcel 61: rho 0.0820393708139481 , p-value 0.8271000000000001 
parcel 62: rho 0.07459681289017257 , p-value 0.8534999999999999 
parcel 63: rho 0.03777516173741389 , p-value 0.9489 
parcel 64: rho 0.04356502404424208 , p-value 0.9395 
parcel 65: rho 0.02279313580668868 , p-value 0.9675 
parcel 66: rho 0.05556389091000412 , p-value 0.9118 
parcel 67: rho 0.05399916226721338 , p-value 0.9158 
parcel 68: rho 0.01720388295873316 , p-value 0.9725 
parcel 69: rho 0.02847133017300368 , p-value 0.9595999999999999 
parcel 70: rho 0.08236948811618527 , p-value 0.8262999999999999 
parcel 71: rho 0.009180564825770756 , p-value 0.9806999999999999 
parcel 72: rho 0.07433705605353887 , p-value 0.8553000000000001 
parcel 73: rho 0.000497079689248965 , p-value 0.9861 
parcel 74: rho 0.002329898478931151 , p-value 0.9851000000000001 
parcel 75: rho 0.05136708010399341 , p-value 0.9226000000000001 
parcel 76: rho 0.03417147098382698 , p-value 0.9541 
parcel 77: rho 0.007848065328045556 , p-value 0.9814 
parcel 78: rho 0.024237766075874943 , p-value 0.966 
parcel 79: rho 0.028821487723696085 , p-value 0.9594 
parcel 80: rho 0.06591765046848683 , p-value 0.8851 
parcel 81: rho 0.06628439131514924 , p-value 0.8837999999999999 
parcel 82: rho 0.02970863859752999 , p-value 0.9590000000000001 
parcel 83: rho -0.015475014908911153 , p-value 0.993 
parcel 84: rho 0.014066034174764604 , p-value 0.9753000000000001 
parcel 85: rho 0.0697442848680445 , p-value 0.8714 
parcel 86: rho 0.0465570727364863 , p-value 0.9333 
parcel 87: rho 0.049899464774975595 , p-value 0.9264 
