parcel 0: rho -0.06820233919804912 , p-value 0.9997 
parcel 1: rho -0.02727956276003138 , p-value 0.9968 
parcel 2: rho -0.11992579066948943 , p-value 1.0 
parcel 3: rho -0.057557806103466495 , p-value 0.9997 
parcel 4: rho -0.042164373728506926 , p-value 0.9990000000000001 
parcel 5: rho -0.05878564280141716 , p-value 0.9997 
parcel 6: rho -0.07289453645754701 , p-value 0.9998999999999999 
parcel 7: rho -0.032866845571407004 , p-value 0.9974 
parcel 8: rho -0.046377133167745214 , p-value 0.9995 
parcel 9: rho -0.10215671806523899 , p-value 1.0 
parcel 10: rho -0.07825043058607795 , p-value 0.9998999999999999 
parcel 11: rho -0.0316748622340344 , p-value 0.9973000000000001 
parcel 12: rho -0.05832944696736235 , p-value 0.9997 
parcel 13: rho -0.06188966272965777 , p-value 0.9997 
parcel 14: rho -0.03398825054841875 , p-value 0.9975 
parcel 15: rho -0.022577849268183302 , p-value 0.9956999999999999 
parcel 16: rho -0.04993370576635158 , p-value 0.9995999999999999 
parcel 17: rho -0.0033669935452788824 , p-value 0.9901000000000001 
parcel 18: rho -0.022062350659655235 , p-value 0.9956999999999999 
parcel 19: rho -0.05904978764000002 , p-value 0.9997 
parcel 20: rho -0.05422636176788709 , p-value 0.9995999999999999 
parcel 21: rho -0.019834607748816863 , p-value 0.9954999999999999 
parcel 22: rho -0.05228803113874232 , p-value 0.9995999999999999 
parcel 23: rho -0.00047596357834714273 , p-value 0.9882 
parcel 24: rho -0.04625308453284163 , p-value 0.9994 
parcel 25: rho -0.05640124751917913 , p-value 0.9997 
parcel 26: rho -0.04832640153922439 , p-value 0.9995 
parcel 27: rho -0.06953540614074756 , p-value 0.9998999999999999 
parcel 28: rho 0.01814097051254023 , p-value 0.9723999999999999 
parcel 29: rho -0.07470610538927874 , p-value 0.9998999999999999 
parcel 30: rho -0.03445083905176904 , p-value 0.9976 
parcel 31: rho -0.03883994136566985 , p-value 0.9986 
parcel 32: rho -0.034684008403924854 , p-value 0.9976999999999999 
parcel 33: rho 0.01342682534058326 , p-value 0.9773000000000001 
parcel 34: rho -0.0284373232789136 , p-value 0.997 
parcel 35: rho -0.06344381160560861 , p-value 0.9997 
parcel 36: rho 0.003559318436982891 , p-value 0.9853000000000001 
parcel 37: rho -0.011702142711309893 , p-value 0.9934999999999999 
parcel 38: rho -0.0021987827964351013 , p-value 0.9895999999999999 
parcel 39: rho -0.04889196035690572 , p-value 0.9995 
parcel 40: rho -0.026003708270771628 , p-value 0.9963 
parcel 41: rho -0.12382749521146301 , p-value 1.0 
parcel 42: rho -0.07742162883916366 , p-value 0.9998999999999999 
parcel 43: rho -0.059006995422075444 , p-value 0.9997 
parcel 44: rho -0.06626451097939863 , p-value 0.9997 
parcel 45: rho -0.019283113903754544 , p-value 0.9952 
parcel 46: rho 0.0015613987602319693 , p-value 0.987 
parcel 47: rho -0.0973930024885203 , p-value 1.0 
parcel 48: rho -0.05454077240969864 , p-value 0.9995999999999999 
parcel 49: rho -0.02639797330173672 , p-value 0.9964 
parcel 50: rho -0.039713394157656755 , p-value 0.9986 
parcel 51: rho -0.0727816139689132 , p-value 0.9998999999999999 
parcel 52: rho -0.003776627936692766 , p-value 0.9906 
parcel 53: rho -0.06378284379966738 , p-value 0.9997 
parcel 54: rho -0.051836513085607924 , p-value 0.9995999999999999 
parcel 55: rho -0.04405582661643316 , p-value 0.9991 
parcel 56: rho -0.039731945298434684 , p-value 0.9986 
parcel 57: rho -0.027198587802946046 , p-value 0.9968 
parcel 58: rho -0.037700442734808354 , p-value 0.9984000000000001 
parcel 59: rho -0.0398569497051271 , p-value 0.9986 
parcel 60: rho 0.012450848719503829 , p-value 0.9783 
parcel 61: rho -0.023375885706783346 , p-value 0.9958 
parcel 62: rho -0.02979082035930239 , p-value 0.9973000000000001 
parcel 63: rho -0.04162919561840565 , p-value 0.9990000000000001 
parcel 64: rho -0.0655604830620977 , p-value 0.9997 
parcel 65: rho -0.0868789281174787 , p-value 0.9998999999999999 
parcel 66: rho -0.06913074451305798 , p-value 0.9998999999999999 
parcel 67: rho -0.0630522385505811 , p-value 0.9997 
parcel 68: rho -0.08141446175176525 , p-value 0.9998999999999999 
parcel 69: rho -0.05391102331691459 , p-value 0.9995999999999999 
parcel 70: rho -0.016953977129032023 , p-value 0.9945999999999999 
parcel 71: rho -0.038753545555208616 , p-value 0.9986 
parcel 72: rho -0.061434542769170514 , p-value 0.9997 
parcel 73: rho -0.05886276533350811 , p-value 0.9997 
parcel 74: rho -0.03596742082477608 , p-value 0.9981 
parcel 75: rho 0.009082007807170285 , p-value 0.9818000000000001 
parcel 76: rho -0.035792910419046815 , p-value 0.998 
parcel 77: rho -0.05642506480207218 , p-value 0.9997 
parcel 78: rho -0.034319806865154734 , p-value 0.9976 
parcel 79: rho -0.015788343525990053 , p-value 0.9945 
parcel 80: rho -0.045612767171134085 , p-value 0.9993000000000001 
parcel 81: rho 0.001844065630955531 , p-value 0.9865999999999999 
parcel 82: rho -0.07400522143399878 , p-value 0.9998999999999999 
parcel 83: rho 0.007768548167456691 , p-value 0.9826999999999999 
parcel 84: rho -0.041763895493308875 , p-value 0.9990000000000001 
parcel 85: rho -0.03891626260803089 , p-value 0.9986 
parcel 86: rho -0.11733335068544272 , p-value 1.0 
parcel 87: rho -0.03596386246577812 , p-value 0.9981 
parcel 88: rho -0.07095556406317234 , p-value 0.9998999999999999 
