parcel 0: rho 0.03657636107642161 , p-value 0.9392 
parcel 1: rho 0.047984272708376796 , p-value 0.9118 
parcel 2: rho 0.06771784453914187 , p-value 0.8462000000000001 
parcel 3: rho 0.0745253513656575 , p-value 0.8190000000000001 
parcel 4: rho 0.025150726506836054 , p-value 0.9578 
parcel 5: rho 0.04852029120762105 , p-value 0.9105 
parcel 6: rho 0.05569886542817146 , p-value 0.8874 
parcel 7: rho 0.06962022685414604 , p-value 0.8397 
parcel 8: rho 0.05578420419853886 , p-value 0.8871000000000001 
parcel 9: rho 0.05276985442223376 , p-value 0.8974 
parcel 10: rho 0.08991341659653287 , p-value 0.7409 
parcel 11: rho 0.06561986858776418 , p-value 0.8539 
parcel 12: rho 0.021333561952310495 , p-value 0.9634999999999999 
parcel 13: rho 0.014806026470493252 , p-value 0.9736 
parcel 14: rho 0.03969639769413637 , p-value 0.9329000000000001 
parcel 15: rho 0.06380995970918685 , p-value 0.8625 
parcel 16: rho 0.04835751241474858 , p-value 0.9109 
parcel 17: rho 0.08898154547720669 , p-value 0.7464 
parcel 18: rho 0.05410642506891097 , p-value 0.8931 
parcel 19: rho 0.04902913159485034 , p-value 0.9084 
parcel 20: rho 0.06195413096426628 , p-value 0.8694 
parcel 21: rho 0.07765305411514375 , p-value 0.8062999999999999 
parcel 22: rho 0.11339244603048503 , p-value 0.5987 
parcel 23: rho 0.1353200036771996 , p-value 0.4583 
parcel 24: rho 0.07802346556375173 , p-value 0.8044 
parcel 25: rho 0.054344235638040035 , p-value 0.8921000000000001 
parcel 26: rho 0.013473214545943225 , p-value 0.975 
parcel 27: rho 0.048514966597038696 , p-value 0.9105 
parcel 28: rho 0.055988922333174165 , p-value 0.8869 
parcel 29: rho 0.06752850339718693 , p-value 0.8471000000000001 
parcel 30: rho 0.06620563178612697 , p-value 0.8514 
parcel 31: rho 0.02997455667132821 , p-value 0.9512999999999999 
parcel 32: rho 0.014868425460377307 , p-value 0.9734 
