parcel 0: rho -0.01690925233090422 , p-value 0.9942 
parcel 1: rho -0.007228738027019977 , p-value 0.9901000000000001 
parcel 2: rho -0.04773900878383753 , p-value 0.9990000000000001 
parcel 3: rho 0.010182130714136527 , p-value 0.9806999999999999 
parcel 4: rho -0.03800672456600302 , p-value 0.9984999999999999 
parcel 5: rho -0.011998270894148812 , p-value 0.9926 
parcel 6: rho -0.028917917241268284 , p-value 0.9974 
parcel 7: rho -0.04210985143014155 , p-value 0.9986 
parcel 8: rho -0.0035572648061523303 , p-value 0.9884000000000001 
parcel 9: rho -0.008083355813285429 , p-value 0.9906 
parcel 10: rho 0.03679521487016884 , p-value 0.9509000000000001 
parcel 11: rho 0.0034386872222852078 , p-value 0.9845999999999999 
parcel 12: rho 0.030730015214696548 , p-value 0.9606 
parcel 13: rho 0.005632153096633871 , p-value 0.9834 
parcel 14: rho -0.006524787274643297 , p-value 0.9895999999999999 
parcel 15: rho -0.011208848549682824 , p-value 0.9923000000000001 
parcel 16: rho 0.011289130700119441 , p-value 0.9799 
parcel 17: rho 0.011354459701312831 , p-value 0.9799 
parcel 18: rho -0.03473854327851581 , p-value 0.9982 
parcel 19: rho -0.010669340938122763 , p-value 0.9919 
parcel 20: rho 0.03649455605117259 , p-value 0.9512999999999999 
parcel 21: rho -0.015996612331403984 , p-value 0.9940000000000001 
parcel 22: rho 0.0016675076053549143 , p-value 0.9852 
parcel 23: rho -0.021314709627363298 , p-value 0.9954999999999999 
parcel 24: rho -0.031727162197925166 , p-value 0.998 
parcel 25: rho 0.09389882906361659 , p-value 0.7764 
parcel 26: rho 0.042391205700447535 , p-value 0.9397 
parcel 27: rho 0.029343283275131624 , p-value 0.9626 
parcel 28: rho 0.02071584340612641 , p-value 0.9718000000000001 
parcel 29: rho -0.024060564085652433 , p-value 0.9965999999999999 
parcel 30: rho 0.02319792883788078 , p-value 0.9698 
parcel 31: rho 0.05654666521540346 , p-value 0.9096000000000001 
parcel 32: rho 0.05541292480446477 , p-value 0.9117000000000001 
parcel 33: rho -0.021359633848532955 , p-value 0.9954999999999999 
parcel 34: rho 0.014983023097672325 , p-value 0.977 
parcel 35: rho -0.035941994814487704 , p-value 0.9984000000000001 
parcel 36: rho -0.0034665388843271006 , p-value 0.9883 
parcel 37: rho -0.028099420679072153 , p-value 0.9972 
parcel 38: rho -0.018181786173646925 , p-value 0.9947 
parcel 39: rho -0.04689038064915575 , p-value 0.9990000000000001 
parcel 40: rho 0.031771024822538824 , p-value 0.9587 
parcel 41: rho -0.014388444304945297 , p-value 0.9937 
parcel 42: rho 0.013202630290069626 , p-value 0.9782 
parcel 43: rho -0.03424698050864997 , p-value 0.9982 
parcel 44: rho 0.0150387776672918 , p-value 0.977 
parcel 45: rho 0.0216975959782172 , p-value 0.971 
parcel 46: rho 0.06945919487183552 , p-value 0.8682 
parcel 47: rho -0.058901960708248324 , p-value 0.9994 
parcel 48: rho -0.02337454136038417 , p-value 0.9963 
parcel 49: rho -0.03683748315101314 , p-value 0.9984999999999999 
parcel 50: rho -0.018593140279403616 , p-value 0.9948999999999999 
parcel 51: rho -0.05596054010177396 , p-value 0.9993000000000001 
parcel 52: rho 0.04097350666834295 , p-value 0.9423999999999999 
parcel 53: rho -0.0006633184308038931 , p-value 0.9858 
parcel 54: rho -0.0338822582353698 , p-value 0.9982 
parcel 55: rho -0.0053137221653581646 , p-value 0.9892 
parcel 56: rho 0.00010047827973336315 , p-value 0.9856999999999999 
parcel 57: rho -0.04533830217991229 , p-value 0.9990000000000001 
parcel 58: rho -0.011426669246836836 , p-value 0.9923000000000001 
parcel 59: rho -0.08751975359738258 , p-value 0.9998 
parcel 60: rho 0.029756356456520847 , p-value 0.9618000000000001 
parcel 61: rho -0.01197283740231812 , p-value 0.9926 
parcel 62: rho -0.059270427574218416 , p-value 0.9994 
parcel 63: rho -0.038592472847248135 , p-value 0.9984999999999999 
parcel 64: rho -0.062059374254436944 , p-value 0.9995 
parcel 65: rho -0.04848072795459418 , p-value 0.9990000000000001 
parcel 66: rho -0.017710085691914648 , p-value 0.9945999999999999 
parcel 67: rho 0.010583588470054814 , p-value 0.9804 
parcel 68: rho -0.02037278538368685 , p-value 0.9954000000000001 
parcel 69: rho 0.0038573688664299524 , p-value 0.9845 
parcel 70: rho 0.017263273458684735 , p-value 0.9748 
parcel 71: rho 0.057511409428590184 , p-value 0.9072 
parcel 72: rho -0.030377933621530982 , p-value 0.9978 
parcel 73: rho -0.0172371466044382 , p-value 0.9944 
parcel 74: rho 0.003166690249225157 , p-value 0.9845999999999999 
parcel 75: rho 0.01957151488793905 , p-value 0.9727 
parcel 76: rho -0.03477753345008123 , p-value 0.9982 
parcel 77: rho -0.03456192857779054 , p-value 0.9982 
parcel 78: rho -0.015963971447318145 , p-value 0.9940000000000001 
parcel 79: rho -0.03121775337087937 , p-value 0.998 
parcel 80: rho 0.008477474337203496 , p-value 0.982 
parcel 81: rho 0.013446814465151767 , p-value 0.978 
parcel 82: rho -0.0022470723732694628 , p-value 0.9873000000000001 
parcel 83: rho 0.03589934351052315 , p-value 0.9525 
parcel 84: rho -0.058775518826265805 , p-value 0.9993000000000001 
parcel 85: rho -0.08106394441878985 , p-value 0.9998 
parcel 86: rho 0.009295882853378568 , p-value 0.9812000000000001 
parcel 87: rho 0.055469659917857836 , p-value 0.9117000000000001 
parcel 88: rho 0.046226100820002114 , p-value 0.9323999999999999 
parcel 89: rho -0.017047828284450475 , p-value 0.9942 
parcel 90: rho -0.03080237276466481 , p-value 0.9979 
parcel 91: rho -0.042325500440086025 , p-value 0.9987 
parcel 92: rho 0.007594437404776041 , p-value 0.9823000000000001 
parcel 93: rho 0.0013894494433190792 , p-value 0.9852 
parcel 94: rho -0.028215345876554866 , p-value 0.9972 
parcel 95: rho -0.01986548014575618 , p-value 0.9952 
parcel 96: rho -0.004538373771000633 , p-value 0.9890000000000001 
parcel 97: rho -0.01344056159265097 , p-value 0.9934000000000001 
parcel 98: rho -0.043206478379625164 , p-value 0.9989 
parcel 99: rho -0.01462099803628989 , p-value 0.9937999999999999 
parcel 100: rho 0.023593616025478735 , p-value 0.9695999999999999 
parcel 101: rho 0.021900135875700652 , p-value 0.9708 
parcel 102: rho -0.0018360470643726617 , p-value 0.9867 
parcel 103: rho -0.008039094459425364 , p-value 0.9906 
parcel 104: rho -0.0054764848653197215 , p-value 0.9892 
parcel 105: rho -0.06028954570828552 , p-value 0.9995 
parcel 106: rho -0.046127267671000775 , p-value 0.9990000000000001 
parcel 107: rho 0.07207146024359672 , p-value 0.8601000000000001 
parcel 108: rho 0.07583488629842158 , p-value 0.8499 
parcel 109: rho -0.05574168474922925 , p-value 0.9993000000000001 
parcel 110: rho -0.053591263634501736 , p-value 0.9992 
parcel 111: rho 0.0014251174825951115 , p-value 0.9852 
parcel 112: rho 0.05539566251074735 , p-value 0.9118 
parcel 113: rho 0.013638883879367826 , p-value 0.9778 
parcel 114: rho 0.010517354933566947 , p-value 0.9804 
parcel 115: rho 0.04018342202978365 , p-value 0.9440000000000001 
parcel 116: rho 0.0866749783932682 , p-value 0.8073999999999999 
parcel 117: rho 0.07495963891670622 , p-value 0.852 
parcel 118: rho -0.026576784088482713 , p-value 0.9969 
parcel 119: rho -0.037102469001073314 , p-value 0.9984999999999999 
parcel 120: rho -0.008566241693633184 , p-value 0.991 
parcel 121: rho -0.02677877725227551 , p-value 0.9971 
parcel 122: rho -0.008601592858948008 , p-value 0.991 
parcel 123: rho -0.05472090761259605 , p-value 0.9992 
parcel 124: rho -0.024625017496629664 , p-value 0.9967 
parcel 125: rho 0.04244058644893051 , p-value 0.9397 
parcel 126: rho 0.07695732632355845 , p-value 0.846 
parcel 127: rho 0.011862658354142089 , p-value 0.9793000000000001 
parcel 128: rho -0.0521947642041188 , p-value 0.9992 
parcel 129: rho 0.00671520903597568 , p-value 0.9828 
parcel 130: rho 0.019285079169928082 , p-value 0.9732 
parcel 131: rho 0.009329434692781248 , p-value 0.9812000000000001 
parcel 132: rho -0.017469369016771256 , p-value 0.9944 
parcel 133: rho -0.05427391665052912 , p-value 0.9992 
parcel 134: rho -0.003177396897601125 , p-value 0.9883 
parcel 135: rho 0.026917719949599586 , p-value 0.9648 
parcel 136: rho 0.002003810388543311 , p-value 0.9852 
parcel 137: rho 0.034557531779613904 , p-value 0.9549 
parcel 138: rho -0.07560653768172863 , p-value 0.9997 
parcel 139: rho -0.021787028265535094 , p-value 0.9959 
parcel 140: rho 0.0273508716363043 , p-value 0.9645 
parcel 141: rho -0.05478886824974441 , p-value 0.9992 
parcel 142: rho -0.040772419644850226 , p-value 0.9986 
