parcel 0: rho 0.1826997426946122 , p-value 0.15730000000000005 
parcel 1: rho 0.17685537637155194 , p-value 0.1806 
parcel 2: rho 0.23171181329270002 , p-value 0.036200000000000045 
parcel 3: rho 0.167109263422041 , p-value 0.22849999999999995 
parcel 4: rho 0.14098215635919992 , p-value 0.3836 
parcel 5: rho 0.1313955195491602 , p-value 0.4436 
parcel 6: rho 0.19828789797482915 , p-value 0.10209999999999994 
parcel 7: rho 0.1445141266819924 , p-value 0.3611 
parcel 8: rho 0.1820326477888537 , p-value 0.16019999999999995 
parcel 9: rho 0.17399944486986363 , p-value 0.19540000000000007 
parcel 10: rho 0.21900438617681042 , p-value 0.05450000000000003 
parcel 11: rho 0.13393632266129327 , p-value 0.4293 
parcel 12: rho 0.17798139129321566 , p-value 0.17569999999999994 
parcel 13: rho 0.1469461450860884 , p-value 0.3469 
parcel 14: rho 0.18245966588417006 , p-value 0.1583 
parcel 15: rho 0.20369122512201857 , p-value 0.08379999999999996 
parcel 16: rho 0.18195491466247016 , p-value 0.16069999999999993 
parcel 17: rho 0.14096754233340936 , p-value 0.3836 
parcel 18: rho 0.1458219538090981 , p-value 0.35409999999999997 
parcel 19: rho 0.16534059556736497 , p-value 0.2378 
parcel 20: rho 0.22008209050145786 , p-value 0.05150000000000006 
parcel 21: rho 0.2016357711787442 , p-value 0.09049999999999997 
parcel 22: rho 0.14211111984831185 , p-value 0.3761 
parcel 23: rho 0.20929056181144196 , p-value 0.07120000000000004 
parcel 24: rho 0.17000563988559436 , p-value 0.21530000000000002 
parcel 25: rho 0.22219289073693096 , p-value 0.048799999999999955 
parcel 26: rho 0.207510576885265 , p-value 0.07450000000000002 
parcel 27: rho 0.2213485531087987 , p-value 0.04989999999999995 
parcel 28: rho 0.18281971451669024 , p-value 0.15700000000000003 
parcel 29: rho 0.24508377627547684 , p-value 0.02069999999999993 
parcel 30: rho 0.20909626028153833 , p-value 0.07129999999999996 
parcel 31: rho 0.17823492064897545 , p-value 0.175 
parcel 32: rho 0.2213296149605411 , p-value 0.04989999999999995 
parcel 33: rho 0.17657537087645547 , p-value 0.18159999999999996 
parcel 34: rho 0.20988353638528257 , p-value 0.06920000000000001 
parcel 35: rho 0.15738508509142665 , p-value 0.2828 
parcel 36: rho 0.19355770245223317 , p-value 0.11569999999999993 
parcel 37: rho 0.20844934465215995 , p-value 0.07260000000000005 
parcel 38: rho 0.17866795838758742 , p-value 0.1725 
parcel 39: rho 0.19724230838470627 , p-value 0.10469999999999999 
parcel 40: rho 0.1648697704625631 , p-value 0.24069999999999994 
parcel 41: rho 0.2099398636614821 , p-value 0.06920000000000001 
parcel 42: rho 0.17985806376736646 , p-value 0.1672 
parcel 43: rho 0.24363833290798698 , p-value 0.02230000000000004 
parcel 44: rho 0.1549580036955964 , p-value 0.298 
parcel 45: rho 0.19188278217315288 , p-value 0.12079999999999998 
parcel 46: rho 0.20441387592508536 , p-value 0.0822 
parcel 47: rho 0.1694552666048056 , p-value 0.21799999999999997 
parcel 48: rho 0.15989536309860003 , p-value 0.2693000000000001 
parcel 49: rho 0.16910293691824033 , p-value 0.2192 
parcel 50: rho 0.18423967716856193 , p-value 0.15150000000000005 
parcel 51: rho 0.14220185777416117 , p-value 0.37549999999999994 
parcel 52: rho 0.18046483148050252 , p-value 0.16549999999999998 
parcel 53: rho 0.16285928993708737 , p-value 0.25060000000000004 
parcel 54: rho 0.16809682735011247 , p-value 0.22409999999999997 
parcel 55: rho 0.19133173022562894 , p-value 0.12299999999999997 
parcel 56: rho 0.15629605830903442 , p-value 0.2897 
parcel 57: rho 0.18978548605341797 , p-value 0.1292 
parcel 58: rho 0.1593543762073657 , p-value 0.27180000000000004 
parcel 59: rho 0.18241629859847086 , p-value 0.1586 
parcel 60: rho 0.1615369480286006 , p-value 0.2584 
parcel 61: rho 0.18070480343108947 , p-value 0.16469999999999999 
parcel 62: rho 0.18339441024145042 , p-value 0.155 
parcel 63: rho 0.19494182343258382 , p-value 0.11120000000000005 
parcel 64: rho 0.1632563021842791 , p-value 0.2486 
parcel 65: rho 0.2216837900659574 , p-value 0.04939999999999998 
parcel 66: rho 0.14665461555020298 , p-value 0.34900000000000003 
parcel 67: rho 0.19639176912699416 , p-value 0.10700000000000003 
parcel 68: rho 0.11190782382508606 , p-value 0.5792 
parcel 69: rho 0.17857064912954299 , p-value 0.17329999999999998 
parcel 70: rho 0.1840926167797523 , p-value 0.15239999999999995 
parcel 71: rho 0.22173213401184574 , p-value 0.049300000000000066 
