parcel 1: rho 0.19047425926486503, p-value 0.1275
parcel 2: rho 0.18867903513517317, p-value 0.13340000000000005
parcel 3: rho 0.23380914318172233, p-value 0.03230000000000004
parcel 4: rho 0.17646963987209666, p-value 0.18189999999999998
parcel 5: rho 0.15935277820583585, p-value 0.267
parcel 6: rho 0.131568986966747, p-value 0.4457
parcel 7: rho 0.19665585865157525, p-value 0.10879999999999995
parcel 8: rho 0.1519474075609759, p-value 0.3114999999999999
parcel 9: rho 0.1885941643173748, p-value 0.13379999999999995
parcel 10: rho 0.18204767806986272, p-value 0.15950000000000003
parcel 11: rho 0.2232248608247205, p-value 0.045300000000000014
parcel 12: rho 0.14379988835618018, p-value 0.3649
parcel 13: rho 0.18139793648531383, p-value 0.16149999999999992
parcel 14: rho 0.15879313255418706, p-value 0.27049999999999996
parcel 15: rho 0.18747196123348098, p-value 0.1375
parcel 16: rho 0.21380148205868857, p-value 0.0647
parcel 17: rho 0.1878014388115039, p-value 0.13590000000000002
parcel 18: rho 0.1533932464401513, p-value 0.30269999999999997
parcel 19: rho 0.1603752089121498, p-value 0.26099999999999995
parcel 20: rho 0.17586935695754385, p-value 0.18469999999999998
parcel 21: rho 0.2369892622147309, p-value 0.028900000000000006
parcel 22: rho 0.21163928143471758, p-value 0.06939999999999998
parcel 23: rho 0.15977003230840375, p-value 0.2647
parcel 24: rho 0.21436883336271104, p-value 0.06269999999999996
parcel 25: rho 0.17615935565892957, p-value 0.18359999999999999
parcel 26: rho 0.22571631200225908, p-value 0.042099999999999936
parcel 27: rho 0.21670846706413632, p-value 0.05769999999999996
parcel 28: rho 0.23027183652263317, p-value 0.036200000000000045
parcel 29: rho 0.19505204146453772, p-value 0.11319999999999993
parcel 30: rho 0.25801562309598786, p-value 0.011899999999999977
parcel 31: rho 0.21726174583155236, p-value 0.05620000000000005
parcel 32: rho 0.17780745969029696, p-value 0.1761
parcel 33: rho 0.23271500529418854, p-value 0.033400000000000034
parcel 34: rho 0.1982925639007872, p-value 0.10340000000000003
parcel 35: rho 0.2272302005737639, p-value 0.04019999999999996
parcel 36: rho 0.17625291070649896, p-value 0.1831
parcel 37: rho 0.1961942094067924, p-value 0.11060000000000002
parcel 38: rho 0.21974897465218415, p-value 0.05179999999999993
parcel 39: rho 0.18884158498899578, p-value 0.13269999999999996
parcel 40: rho 0.19316008898734302, p-value 0.11909999999999997
parcel 41: rho 0.17264161561994668, p-value 0.20049999999999998
