parcel 1: rho NA, p-value NA
parcel 2: rho NA, p-value NA
parcel 3: rho 0.23380914318172233, p-value 0.0037000000000000453
parcel 4: rho 0.17646963987209666, p-value 0.03980000000000004
parcel 5: rho NA, p-value NA
parcel 6: rho NA, p-value NA
parcel 7: rho NA, p-value NA
parcel 8: rho NA, p-value NA
parcel 9: rho NA, p-value NA
parcel 10: rho NA, p-value NA
parcel 11: rho NA, p-value NA
parcel 12: rho NA, p-value NA
parcel 13: rho NA, p-value NA
parcel 14: rho NA, p-value NA
parcel 15: rho NA, p-value NA
parcel 16: rho NA, p-value NA
parcel 17: rho NA, p-value NA
parcel 18: rho NA, p-value NA
parcel 19: rho NA, p-value NA
parcel 20: rho NA, p-value NA
parcel 21: rho NA, p-value NA
parcel 22: rho NA, p-value NA
parcel 23: rho NA, p-value NA
parcel 24: rho NA, p-value NA
parcel 25: rho NA, p-value NA
parcel 26: rho NA, p-value NA
parcel 27: rho NA, p-value NA
parcel 28: rho NA, p-value NA
parcel 29: rho NA, p-value NA
parcel 30: rho NA, p-value NA
parcel 31: rho NA, p-value NA
parcel 32: rho NA, p-value NA
parcel 33: rho NA, p-value NA
parcel 34: rho NA, p-value NA
parcel 35: rho NA, p-value NA
parcel 36: rho NA, p-value NA
parcel 37: rho NA, p-value NA
parcel 38: rho NA, p-value NA
parcel 39: rho NA, p-value NA
parcel 40: rho NA, p-value NA
parcel 41: rho NA, p-value NA
parcel 42: rho NA, p-value NA
parcel 43: rho NA, p-value NA
parcel 44: rho NA, p-value NA
parcel 45: rho NA, p-value NA
parcel 46: rho NA, p-value NA
parcel 47: rho NA, p-value NA
parcel 48: rho NA, p-value NA
parcel 49: rho NA, p-value NA
parcel 50: rho NA, p-value NA
parcel 51: rho NA, p-value NA
parcel 52: rho NA, p-value NA
parcel 53: rho NA, p-value NA
parcel 54: rho NA, p-value NA
parcel 55: rho NA, p-value NA
parcel 56: rho NA, p-value NA
parcel 57: rho NA, p-value NA
parcel 58: rho NA, p-value NA
parcel 59: rho NA, p-value NA
parcel 60: rho 0.19073910993673093, p-value 0.023400000000000035
parcel 61: rho NA, p-value NA
parcel 62: rho NA, p-value NA
parcel 63: rho NA, p-value NA
