parcel 0: rho 0.22603000787079353 , p-value 0.09989999999999995 
parcel 1: rho 0.20840000701402503 , p-value 0.15489999999999995 
parcel 2: rho 0.28549204768549286 , p-value 0.015900000000000036 
parcel 3: rho 0.25521596188774626 , p-value 0.043700000000000044 
parcel 4: rho 0.21564110310439874 , p-value 0.13090000000000004 
parcel 5: rho 0.2176587648464029 , p-value 0.12439999999999998 
parcel 6: rho 0.19864665234730733 , p-value 0.19140000000000001 
parcel 7: rho 0.2220996718300381 , p-value 0.11129999999999995 
parcel 8: rho 0.2100105193450673 , p-value 0.14900000000000005 
parcel 9: rho 0.1857641261254928 , p-value 0.2539 
parcel 10: rho 0.25056196179184975 , p-value 0.05150000000000006 
parcel 11: rho 0.2046115978343483 , p-value 0.16900000000000007 
parcel 12: rho 0.1613083619490375 , p-value 0.38130000000000003 
parcel 13: rho 0.20108955447846005 , p-value 0.18299999999999997 
parcel 14: rho 0.2064326473409701 , p-value 0.16129999999999994 
parcel 15: rho 0.18654414202678704 , p-value 0.24909999999999996 
parcel 16: rho 0.24204035700373483 , p-value 0.06560000000000002 
parcel 17: rho 0.20547584378909567 , p-value 0.16590000000000005 
parcel 18: rho 0.20754486504343075 , p-value 0.15739999999999996 
parcel 19: rho 0.21457356061438218 , p-value 0.13409999999999997 
parcel 20: rho 0.21781028291440901 , p-value 0.12409999999999996 
parcel 21: rho 0.2105703521929269 , p-value 0.14700000000000002 
parcel 22: rho 0.22660697594704876 , p-value 0.09829999999999998 
parcel 23: rho 0.2492438451613133 , p-value 0.05379999999999995 
parcel 24: rho 0.2286879010168749 , p-value 0.09280000000000001 
parcel 25: rho 0.23565993002975322 , p-value 0.07780000000000001 
parcel 26: rho 0.17380888257100383 , p-value 0.3125 
parcel 27: rho 0.18816946536363005 , p-value 0.24090000000000003 
parcel 28: rho 0.1997468461281977 , p-value 0.18719999999999998 
parcel 29: rho 0.23468938651237436 , p-value 0.07950000000000003 
parcel 30: rho 0.20251644954201017 , p-value 0.17739999999999995 
parcel 31: rho 0.15856158633854647 , p-value 0.3971 
parcel 32: rho 0.1771899018442911 , p-value 0.29680000000000006 
parcel 33: rho 0.19064954202592407 , p-value 0.22700000000000004 
parcel 34: rho 0.19863033435013489 , p-value 0.19140000000000001 
parcel 35: rho 0.2127536178399576 , p-value 0.13959999999999995 
parcel 36: rho 0.18766504759115932 , p-value 0.24299999999999997 
parcel 37: rho 0.24724305180825512 , p-value 0.05730000000000004 
parcel 38: rho 0.21629087359389726 , p-value 0.12890000000000001 
parcel 39: rho 0.1986404637682665 , p-value 0.19140000000000001 
parcel 40: rho 0.2360169668787636 , p-value 0.0775 
parcel 41: rho 0.22817021917091185 , p-value 0.09439999999999998 
parcel 42: rho 0.2287848422026254 , p-value 0.09260000000000006 
parcel 43: rho 0.2495114684164362 , p-value 0.053199999999999935 
parcel 44: rho 0.24311943930850696 , p-value 0.06390000000000001 
parcel 45: rho 0.23447001729093428 , p-value 0.08 
parcel 46: rho 0.22399272124867087 , p-value 0.10680000000000006 
parcel 47: rho 0.24870753695865 , p-value 0.05480000000000004 
parcel 48: rho 0.18579244113367532 , p-value 0.2536 
parcel 49: rho 0.21986078687063 , p-value 0.11810000000000002 
parcel 50: rho 0.22091293453732377 , p-value 0.11480000000000004 
parcel 51: rho 0.1765811648602678 , p-value 0.29969999999999997 
